Grupo,C�digo de barras,Art�culo,deposito 1,deposito 2,deposito 3,deposito 4,deposito 5
,GVC-AGAT-B&D,GRIFERIA VASSER AGATHA BLANCA Y DORADO 25/2302.BG,2,,1,,
,GVC-AGAT-BLANCA,GRIFERIA VASSER AGATHA BLANCA 25/2302.BO,,,2,1,
,GVC-AGAT-NE,GRIFERIA VASSER AGATHA NEGRA 25/2302.01,3,1,1,1,
,GVC-AGT-ND,GRIFERIA VASSER AGATHA NEGRA Y DORADO 25/2302,4,,2,,
,GVC-AJAX,GRIFERIA VASSER AJAX 18/2302,4,,2,1,
,GVC-ALIZEPARED2,GRIFERIA VASSER ALIZE EXT  PARED 2 LLAVES 24/2310,7,,1,,
,GVC-ANTILA,GRIFERIA VASSER ANTILA 23/2302,6,4,1,1,
,GVC-ARGUS,GRIFERIA VASSER ARGUS 14/2302,,,1,,
,GVC-HERA,GRIFERIA VASSER HERA 19/2302,10,,1,1,
,GVC-LYRABD,GRIFERIA VASSER LYRA BASE DUO 10/2302.01,6,,,1,
,GVC-ODESSA,GRIFERIA VASSER ODESSA 16/2302,7,1,,1,
,GVC-RHODA/ TROYA,GRIFERIA VASSER RHODA/TROYA  15/2302,19,3,1,,
,GVC-TITANIA,GRIFERIA VASSER TITANIA 17/2302,6,,,1,
,GVC-VEGALEVER,GRIFERIA VASSER VEGA LEVER 20/2301 L,10,,2,,
,GVC-ZAFIRO-CROMO,GRIFERIA VASSER ZAFIRO MONO CROMO 12/2302,,,1,,
,GVC-ZAFIRO-NEGRO,GRIFERIA VASSER ZAFIRO MONO NEGRO 12/2302NG,1,,1,,
HORNOS ORMAY,ORHOR-HE60-A2,HORNO H.E.60 A2,,1,1,,
,ORHOR-HE60-A3,HORNO H.E.60 A3,,,1,1,
,ORHOR-HE60-A4,HORNO H.E.60 A4,,,1,1,
MUEBLES ACCESORIOS,MACC-ESCURRE-560,ESCURREPLATOS ALACENA 560,,,1,,
,MACC-ESCURRE-760,ESCURREPLATOS ALACENA 760,,,1,,
,MACC-ESCURRE-860,ESCURREPLATOS ALACENA 860,,,1,,
,MACC-PISOAL-120,PISO DE ALUMINIO DE 120 CM,2,,,,
,MACC-PORTARES- ACERO-15L-10714-MOD400,PORTA RESIDUO ACERO INOX 15LTS INOX DIF,1,,,1,
,MACC-PORTARES- FARK-3017-10lt,PORTA RESIDUO ACERO INOX 10LTS FARK-3017,1,,1,,
,MACC-PORTARES-DOBLE,PORTA RESIDUO DOBLE CUADRADO,,,1,,
,MACCH-PRES-13l-5325-502.01.923,PORTARESIDUOS INOX HAFELE DE13 LTS,1,,1,,
,MACCH-PRES-15,PORTARESIDUOS INOX HAFELE DE15 LTS,,,,3,
PILETAS CERAMICAS CERART,PCCALBI-AZUL,PILETA C. CERART ALBI AZUL APOYAR,,,1,,
,PCCALBI-B-A,PILETA C. CERART ALBI BCA APOYAR,5,,1,,
,PCCALBI-ROJO,PILETA C. CERART ALBI ROJO APOYAR,,,1,,
,PCCARG-BCA,PILETA C. CERART ARGENTA BCA,1,,1,,
,PCCARG-NEG,PILETA C. CERART ARGENTA NEGRA,,,1,,
,PCCCOLSM,PILETA C. COLUMBIA SOBRE MESADA,1,,,,1
,PCCCOLUMBMES,PILETA C. COLUMBIA BAJO MESADA,1,,,,
,PCCKOBE-BCA-A,PILETA C. CERART KOBE BCA APOYAR,2,,1,,
,PCCKOBE-ROJO-A,PILETA C. CERART KOBE ROJO APOYAR,,,1,,
,PCCMICHEL-BCO,PILETA C. CERART MICHEL  BCA EMBUTIR,2,,1,,
,PCCPARIS-GDE-BCA -E,PILETA C. CERART PARIS GRANDE  BCA  EMBUTIR,,,1,,
,PCCPARIS-GDE-PPA,PILETA C. CERART PARIS GRANDE  BCA  P/ABAJO,3,,,,
,PCCPROV-GDE-BCA-E,PILETA C. CERART PROVENZAL GRANDE  BCA  EMBUTIR,2,,,,
,PCCPROVCH-BCA-A,PILETA C. CERART PROVENZAL CHICA BCA  APOYAR,,,1,,
,PCCREMIS-CH-LISA-BCA-PPA,PILETA C. CERART REIMS CHICA BCA P P/ ABAJO,,,1,,
,PCCRODEZ-BCA-A,PILETA C. CERART RODEZ BCA APOYAR,3,,,,
,PCCTANA-CMAND-A,PILETA C. CERART TANABE COLOR MANDARINA  APOYAR,,,1,,
,PCCTANA-CROJO-A,PILETA C. CERART TANABE COLOR ROJO  APOYAR,,,1,,
PILETAS DACCORD,AD-AGAROIMP 14,AGARRADERAS CURVAS ACERO INOX 135� 45 CM,,,1,,
,DD-REPOIMP 20,DESAG�E QUICK CLACK S/ DESB � 1.1/4` -BIDET/LAVA,17,,1,,
,ED-ESPEJO-6060,ESPEJO BISELADO 60 X 60,3,,1,,
,ED-ESPEJO-7070,ESPEJO BISELADO 70 X 70,8,,1,,
,ED-ESPEJO-8080,ESPEJO BISELADO 80 X 80,,,,1,
,PD-BACHOIMP 18,LAVATORIO ARANJUEZ 3AG 60 X46 X 17.5,3,,1,,
,PD-BACHOIMP 19,LAVATORIO ARANJUEZ 1 AG 51 X47 X 17,,,,1,
,PD-BACHOIMP 24,BACHA CUENCA CRISTAL,4,,1,,
,PD-BACHOLOZ 03,BACHA LOZA  DE APOYO ALUMINE BCA,4,,1,,
,PD-BACHOLOZ 04,BACHA LOZA DE APOYO NAHUEL BCA,,2,1,,
,PD-BACHOLOZ 04 02,BACHA LOZA DE APOYO NAHUEL NEGRA,2,,1,,
,PD-BACHOLOZ 04 25,BACHA LOZA NAHUEL ART SPONGE GRIS,,,1,,
,PD-BACHOLOZ 05,BACHA LOZA DE APOYO PUELO BLANCA,1,,1,,
,PD-BACHOLOZ 07,LAVATORIO SOBRE MESADA BLANCO,1,,,,
,PD-BACHOLOZ 08,BACHA LOZA DE APOYO AGUS BCA,3,,1,,
,PD-BACHOLOZ 08 02,BACHA LOZA DE APOYO AGUS NEGRA,2,,1,,
,PD-BACHOLOZ 08 03,BACHA LOZA DE APOYO  AGUS ROJA,2,,1,,
,PD-BACHOLOZ 08 21,BACHA LOZA AGUS ART MARMOLADA NEGRA,,,1,,
,PD-BACHOLOZ 09,BACHA LOZA DE APOYO SOFY BLANCA,3,,,,
,PD-BACHOLOZ 09 23,BACHA LOZA SOFY ART MARMOLADA MARRON,1,,1,,
,PD-BACHOLOZ 09 26,BACHA LOZA SOFY ART CEBRA BLANCA,2,,1,,
,PD-BACHOLOZ 09 28,BACHA LOZA SOFY ART CEBRA MARRON,,,1,,
,PD-BACHOLOZ 10,BACHA LOZA DE APOYO PILI BLANCA,2,,2,,
,PD-BACHOLOZ 18,BACHA LOZA DE APOYO LUNA BCA,2,,1,,
,PD-BACHOLOZ 19,BACHA LOZA FRANC BLANCA,3,,1,,
,PD-BVSE-NE41,BACHA VIDRIO SEVILLA NEGRA 41 CM,1,,1,,
,PD-BVSE-NEG31,BACHA VIDRIO SEVILLA NEGRA 31 CM,5,,1,,1
,PD-BVSE-ROJ31,BACHA VIDRIO SEVILLA ROJA 31.5 CM,2,,1,,
,PD-BVSE-ROJ41,BACHA VIDRIO SEVILLA ROJA 41.5 CM,3,,1,,
,PD-BVSEVILLA31,BACHA VIDRIO SEVILLA 31,2,,1,,
,PD-BVSEVILLA41,BACHA VIDRIO SEVILLA 41,3,,2,,
,PD/BACHOLOZ 09 25,BACHA LOZA SOFY ART SPONGE GRIS,2,,1,,
,RD-REJOIMP 120,REJILLA 12*12  QUICK CLACK,7,,1,,
,RD-REJOIMP 150,REJILLA 15*15  QUICK CLACK,8,,1,,
PILETAS FERRUM,PF-ARM-BH-132-B-BCA,PILETA FERRUM ARMONICA CADRIA BLANCO SIN REBALSE,1,,,1,
,PF-ARM-BH-163-B,PILETA FERRUM BAJO MESADA ESQUEL CUADRA,1,,1,,
,PFA-CUADRA-BCA,PILETA FERRUM ARMONICA CUADRA BLANCO,,,1,,
,PFAB-ARM-BH-100-BL,PILETA FERRUM ARIANNA BLANCA,4,,1,,
,PFCITBCA,PILETA FERRUM CITERA BLANCA,,,1,,
,PFCONGGB,PILETA FERRUM CONGRESO GRANDE BLANCO,1,,,,
,PFL11SF,PILETA FERRUM BACHA CIRCULAR SOBRE MESADA,,,1,,
,PFLEB,PILETA FERRUM LEB BLANCO,2,,1,,
,PFLES,PILETA FERRUM LES BLANCO,,,2,,
,PFP-NAR,PILETA FERRUM PERSIS NARANJA,,,1,,
PILETAS JOHNSON,PJA-APIACLU,PILETA ACCESORIA LUXOR ABS,1,,1,1,
,PJA-APIACQ71,PILETA ACCESORIA ABS QUADRA MAX Q71,,1,,1,
,PJA-APICUCE,CUBRE CESTILLO JOHNSON,10,,3,3,
,PJA-APIDO,DOSIFICADOR,2,3,1,1,
,PJA-APIDOCU,DOSIFICADOR CUBO,1,,2,4,
,PJA-CASELU,CANASTO SECAPLATO LUXOR DE ACERO,2,,2,1,
,PJA-SOCEC,SOPAPA CESTILLO CUADRADA,2,,,,
,PJAE-ESAC Q40,ESCURREPLATO Q 40,,,,1,
,PJAE-ESACCV,ESCURREPLATO CURVE,,,,1,
,PJAE-ESACE3,ESCURRIDOR DE PLATOS P/ E3,,1,,,
,PJAE-ESACE4,ESCURRIDOR DE PLATOS P/ E4,,,1,,
,PJAE-ESACQ71,ESCURREPLATO Q 71,,1,,1,
,PJAT-TACVCS,TABLA DE PICAR CURVE COMPACTO ESTRUC,1,,,,
,PJAT-TACVVT,TABLA DE PICAR CURVE VIDRIO TEMPLADO,,,,1,
,PJAT-TALC,TABLA LUXOR COMPACT DE MADERA,,,1,,
,PJAT-TAMOQ71,TABLA DE PICAR MONTELLI QUADRA MAX Q71,,1,,,
,PJAT-TAQ40,TABLA DE PICAR  DE MADERA Q40,,,1,,
,PJAXA D78A,PILETA ACERO INOX AXA D78 A,,1,,,
,PJC28,PILETA ACERO INOX C28,1,1,,,
,PJC28/18,PILETA ACERO INOX C28/18,2,,1,,
,PJC37/18,PILETA ACERO INOX C37/18,1,1,,,
,PJCC28,PILETA ACERO INOX CC28,1,,,,
,PJCC28/18,PILETA ACERO INOX CC28/18,,1,,,
,PJCURVE-SI77A,PILETA ACERO 304 CURVE SI 77A,,1,,1,
,PJE28,PILETA ACERO INOX E28,1,,,,
,PJE60,PILETA ACERO INOX E60,,2,,,
,PJEE28,PILETA ACERO INOX EE28,1,,,,
,PJF37,PILETA ACERO INOX F37,1,,,,
,PJG50,PILETA ACERO INOX G50,1,,,,
,PJHYDRA J107A,PILETA ACERO INOX HYDRA J107A,1,,1,,
,PJLUXSI71AD,PILETA ACERO INOX LUXOR SI 71 AD,1,,1,1,
,PJLUXSI85ADD,PILETA ACERO INOX LUXOR SI 85 ADD,,1,1,1,
,PJO-340L,PILETA ACERO INOX O 340 L,4,,,,
,PJO37AT,PILETA ACERO INOX O37 AT,1,,,,
,PJQ084 A,PILETA ACERO INOX Q084 A,1,,,,
,PJQ084 AD/D,PILETA ACERO INOX Q084 AD/D,,,,1,
,PJQ085A,PILETA ACERO INOX Q085 A,1,,,,
,PJQ085ADD,PILETA ACERO INOX Q085 ADD,,,,1,
,PJQ37,PILETA ACERO INOX  Q 37,1,,,,
